N.I.F.;Nombre 1;Nombre 2;VMA;;;;;
8001195740;SOCIEDAD DE SERVICIOS OCULARES LTDA;;9295;;;;;
8001199451;HOSPITAL SAN ROQUE ESE;;9298;;;;;
8001231062;ESE HOSPITAL VENANCIO DIAZ DIAZ;;9304;;;;;
8001235721;CLINICA CHINITA S A;;9306;;;;;
8001252765;ESE HOSPITAL NUESTRA SENORA DE LOS REMED;REMEDIOS;9309;;;;;
8001256972;E.S.E. HOSP. NELSON RESTREPO MARTINEZ;;9310;;;;;
8001276480;HORUS GRUPO OFTALMOLOGICO S A;;9319;;;;;
8001297012;FUNDACION OFTALMOLOGIA DEL CARIBE SANT;SANTA MARTA;9320;;;;;
8001297993;UNIDAD CARDIOFETAL LTDA;;9321;;;;;
8001298565;CLINICA DE LA COSTA LTDA;;9322;;;;;
8001300278;CENTRO MEDICO Y ODONTOLOGICO ORALSER S A;R S A;9323;;;;;
8001304801;CENTRO DE MEDICINA NUCLEAR DEL TOLIMA LT;MA LTDA;9324;;;;;
8001306252;ESE HOSPITAL SAN CRISTOBAL DE CIENAGA;GA;9325;;;;;
8001326742;LABORATORIO CLINICO CONTINENTAL;;9350;;;;;
8001331517;LABOPAT SAS Y/O LABOPAT LABORATORIO CLIN;CLINICO PATOLOGIA Y CITOLOGIA SAS;9352;;;;;
8001338879;ESE HOSPITAL SAN FRANCISCO DE ASIS;;9355;;;;;
8001343399;E S E  HOSPITAL SAN VICENTE DE PAUL DE S;;9357;;;;;
8001355827;FUNDACION ALEJANDRO LONDONO;;9358;;;;;
8001380117;ESE HOSPITAL LA MISERICORDIA;;9361;;;;;
8001383111;EMPRESA SOCIAL DEL ESTADO HOSPITAL NUEST;NUESTRA SENORA DEL CARMEN;9363;;;;;
8001383928;HURTADO CARRILLO LIMITADA HUCAR LTDA;A;9364;;;;;
8001394447;CLINICA OFTALMOLOGICA INTEGRAL COI LTDA;LTDA;9368;;;;;
8001424091;ESCANOGRAFIA BOCAGRANDE LTDA;;9377;;;;;
8001464675;ORTOPEDISTAS LAS VEGAS S.A.S.;;9383;;;;;
8001490264;INSTITUTO DE CANCEROLOGIA;;9389;;;;;
8001491699;IPS CLINICA JOSE A RIVAS S A;;9390;;;;;
8001494536;CPO SA;;9402;;;;;
8001504971;HOSPITAL FRANCISCO CANOSSA;;9410;;;;;
8001520390;CLINICA HONDA LTDA;;9413;;;;;
8001529703;E S E  HOSPITAL DE MIRAFLORES;;9416;;;;;
8001534635;CLINICA REVIVIR SA;;9418;;;;;
8001534889;CENTRO DE ENFERMEDADES MAMARIAS;;9419;;;;;
